Bus,busdistances
b2271,0.2483819153246001
b3019,0.2493216419358771
b102,0.250377261267702
b568,0.25168148954632014
b3225,0.252804852595402
b1646,0.2534008166879671
b186,0.254403542721702
b2411,0.254935486859602
b315,0.255011633300302
b1185,0.256096367434102
b1,0.2575479389214171
b1039,0.2575829785174571
b1636,0.2585439655705471
b2998,0.25895046988180204
b2031,0.2595896704886771
b1838,0.26060097722319203
b1766,0.260715735363402
b1516,0.264297132214442
b1009,0.264390829407602
b438,0.26580259938710205
b1947,0.265804700688102
b1512,0.266590871380202
b489,0.267221640844602
b954,0.26995126997026014
b1531,0.2705207177579601
b470,0.273515954086902
b543,0.276792533919402
b177,0.27706594005790197
b2144,0.277257080269802
b2278,0.2788983686496301
b2699,0.27939932840687015
b2270,0.2800522735189601
b2802,0.2803362595252501
b2101,0.283275908797042
b2421,0.283503869295952
b2504,0.28669764045346013
b2673,0.2890510355075602
b1194,0.29206697827030204
b961,0.29568388736780205
b2087,0.29581766703600204
b2856,0.29648388736780207
b806,0.30138809630359203
b2486,0.301462707109012
b2336,0.301985392503522
b680,0.30428491584320205
b1489,0.30539689405158205
b575,0.30587778898320206
b3136,0.30644862596136013
b1285,0.30649223455220204
b1408,0.3068680691638601
b157,0.31022594955790206
b2017,0.311574504424802
b1542,0.31245536980385014
b2990,0.3139279986809321
b1939,0.31409235624880205
b989,0.3150390112465021
b707,0.31578648181450014
b2008,0.31645929896340197
b2679,0.3173877073227601
b3405,0.321343329780432
b2987,0.321941019407402
b1845,0.32236482607480205
b2983,0.32329282057593206
b2323,0.32329614340181206
b1762,0.32484687630216014
b1620,0.32564687630216016
b291,0.329010411916602
b3058,0.329821825253802
b602,0.3335464916567771
b1333,0.33401675639675016
b2515,0.33453864657189203
b355,0.33458861281889013
b2163,0.338806462846782
b2596,0.33912236527680195
b3095,0.3415758920373871
b2457,0.343076666690702
b1253,0.34549039042460195
b2683,0.34909176987390206
b2326,0.349733368631902
b201,0.35084341102083194
b163,0.35114385438496193
b2724,0.35468210002006206
b293,0.355327307262132
b1121,0.35801658561973204
b2205,0.35810872692528206
b1570,0.359426744714272
b2335,0.360089904852102
b339,0.3626408825486771
b2153,0.3658428600494019
b3000,0.36860874852200204
b2732,0.368696329605102
b825,0.3714310486856019
b3083,0.3745387947246419
b819,0.3745904677261319
b2201,0.37840531472107203
b124,0.37861183353558203
b2071,0.387678996172502
