Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"B1694", 0, 1,    224.169,   -1.2,         0, 2,      228.2, -120.5,         0, 3,    226.716,  119.5,         0, 4,    3.53386,  -12.2,         0
"B2362", 0, 1,    225.201,   -1.0,         0, 2,    225.755, -121.2,         0, 3,    227.471,  119.5,         0, 4,    3.31386,  -48.1,         0
"B3006", 0, 1,    228.718,   -0.5,         0, 2,    228.607, -120.5,         0, 3,    227.774,  119.4,         0, 4,    0.58218,   14.2,         0
"B1022", 0, 1,    224.169,   -1.2,         0, 2,      228.2, -120.5,         0, 3,    226.716,  119.5,         0, 4,    3.53386,  -12.2,         0
"B1791", 0, 1,     224.71,   -1.0,         0, 2,    224.726, -121.2,         0, 3,    226.034,  119.3,         0, 4,    2.34289,  -72.1,         0
"B1196", 0, 1,    224.715,   -1.0,         0, 2,    224.728, -121.2,         0, 3,    226.288,  119.3,         0, 4,    2.59315,  -70.5,         0
"B2017", 0, 1,    212.882,   -3.7,         0, 2,    226.718, -120.8,         0, 3,    218.397,  118.6,         0, 4,    5.55512,   -6.1,         0
"B2701", 0, 1,    225.253,   -0.9,         0, 2,    225.503, -121.1,         0, 3,    227.099,  119.4,         0, 4,    2.76046,  -55.9,         0
"B1395", 0, 1,    224.063,   -1.1,         0, 2,    225.155, -121.2,         0, 3,    227.735,  119.5,         0, 4,    4.45416,  -45.0,         0
"B1545", 0, 1,    216.561,   -2.7,         0, 2,    227.087, -120.7,         0, 3,    221.685,  119.0,         0, 4,    5.62275,   -7.7,         0
"B2860", 0, 1,    224.891,   -1.1,         0, 2,    225.663, -121.3,         0, 3,    227.764,  119.5,         0, 4,    3.82395,  -46.1,         0
"B1129", 0, 1,    229.447,   -0.3,         0, 2,     228.89, -120.4,         0, 3,    228.919,  119.5,         0, 4,   0.905899,  -40.4,         0
"B990", 0, 1,     229.42,   -0.4,         0, 2,    229.293, -120.4,         0, 3,    229.565,  119.7,         0, 4,    1.79495,  -12.6,         0
"B2910", 0, 1,    227.984,   -0.6,         0, 2,    227.963, -120.6,         0, 3,    227.372,  119.3,         0, 4,   0.501065,  -29.2,         0
